date,pred_low,pred_mid,pred_high,week
2026-04-01,167.52,192.06,216.59,1
2026-04-02,155.94,190.65,225.35,1
2026-04-03,148.12,190.62,233.12,1
2026-04-04,142.69,191.77,240.84,1
2026-04-05,137.32,192.19,247.06,1
2026-04-06,131.99,192.09,252.2,1
2026-04-07,127.79,192.71,257.63,1
2026-04-08,123.39,192.79,262.19,2
2026-04-09,119.43,193.04,266.66,2
2026-04-10,115.46,193.06,270.65,2
2026-04-11,111.69,193.07,274.45,2
2026-04-12,108.11,193.11,278.11,2
2026-04-13,104.62,193.09,281.56,2
2026-04-14,101.74,193.55,285.37,2
2026-04-15,98.39,193.43,288.46,3
2026-04-16,95.43,193.59,291.74,3
2026-04-17,92.42,193.59,294.77,3
2026-04-18,89.28,193.38,297.49,3
2026-04-19,86.46,193.42,300.38,3
2026-04-20,83.55,193.28,303.02,3
2026-04-21,81.23,193.68,306.12,3
2026-04-22,78.58,193.68,308.77,4
2026-04-23,76.17,193.85,311.53,4
2026-04-24,73.6,193.81,314.02,4
2026-04-25,70.91,193.6,316.29,4
2026-04-26,68.33,193.45,318.57,4
2026-04-27,65.89,193.39,320.9,4
2026-04-28,64.02,193.87,323.71,4
